"Method","samp1","samp2","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","S1_10B","S30_7D",0.014167858699722,0.0101771668978492,0.797527365920671,0.00766975291251029,0.170457855569247
"CbMPDiCbraya","S1_10B","S31_8B",0.00261089621335409,0.21976737819222,0.529333646202108,0.00553875079903917,0.242749328593279
"CbMPDiCbraya","S1_10B","S32_8Z",0.00854499953954097,0.298156845272275,0.333895282168305,0.00764052015463714,0.351762352865242
"CbMPDiCbraya","S1_10B","S33_8D",0.00878483968380017,0.355161841712057,0.29278530113015,0.006606571478526,0.336661445995468
"CbMPDiCbraya","S1_10B","S34_9B",0.00347796960223473,0.309536489894267,0.448656659837706,0.00517321945044684,0.233155661215346
"CbMPDiCbraya","S1_10B","S35_9Z",0.0285711962144399,0.348081444596039,0.310819880901,0.012542218780757,0.299985259507764
"CbMPDiCbraya","S1_10B","S36_9D",0.00318361131535543,0.286073631951941,0.502838411535005,0.0140206000533972,0.193883745144301
"CbMPDiCbraya","S1_10B","S4_11B",0.0189264922578931,0.14498214202966,0.517148384806769,0.00431249215231681,0.314630488753361
"CbMPDiCbraya","S1_10B","S5_11Z",0.000358190240118995,0.208031886665324,0.335331223896651,0.00550851264114549,0.450770186556761
"CbMPDiCbraya","S1_10B","S6_11D",0.00998226440417985,0.210826442351737,0.530243835739625,0.0062456972242525,0.242701760280205
"CbMPDiCbraya","S1_10B","S7_12B",0.00122319697316662,0.295901136653853,0.385596311013236,0.00267803197654671,0.314601323383198
"CbMPDiCbraya","S1_10B","S8_12Z",0.00119807554610332,0.267853710288169,0.412775029943326,0.00292799922973905,0.315245184992663
"CbMPDiCbraya","S1_10B","S9_12D",0,0.250610851774444,0.427445220214631,0.00280334587963418,0.319140582131291
"CbMPDiCbraya","S10_1B","S11_1Z",0.000246693875763624,0.431125802518858,0,0.0632878467743287,0.505339656831049
"CbMPDiCbraya","S10_1B","S12_1D",0.000491742808297395,0.409315998256743,0.0370226744800222,0.0300572807806108,0.523112303674327
"CbMPDiCbraya","S10_1B","S13_2B",0.00388234906190419,0.174080117694252,0.264020237156137,0.0150524344005851,0.542964861687122
"CbMPDiCbraya","S10_1B","S14_2Z",0.000236626854468426,0.203136041012435,0.322066028282443,0.00468003333087894,0.469881270519774
"CbMPDiCbraya","S10_1B","S15_2D",0,0.194409311631295,0.339650932192927,0.00835914579939539,0.457580610376382
"CbMPDiCbraya","S10_1B","S16_3B",0.0106589182710542,0.0114522937575256,0.660447034910811,0.00258844518691329,0.314853307873696
"CbMPDiCbraya","S10_1B","S17_3Z",0.000717433094510033,0.318474132165803,0.253295458516141,0.0145359854995958,0.41297699072395
"CbMPDiCbraya","S10_1B","S18_3D",0.0017794747993686,0.208957561644519,0.345773739486149,0.00615932192082983,0.437329902149133
