"Bin","BinRA","TopTaxonID","TopTaxonRAinBin","TopTaxon.Domain","TopTaxon.Kingdom","TopTaxon.Phylum","TopTaxon.Class","TopTaxon.Order","TopTaxon.Family","TopTaxon.Genus","TopTaxon.Species","Domain.maxNamed","Domain.maxNamed.Percent","Kingdom.maxNamed","Kingdom.maxNamed.Percent","Phylum.maxNamed","Phylum.maxNamed.Percent","Class.maxNamed","Class.maxNamed.Percent","Order.maxNamed","Order.maxNamed.Percent","Family.maxNamed","Family.maxNamed.Percent","Genus.maxNamed","Genus.maxNamed.Percent","Species.maxNamed","Species.maxNamed.Percent"
"Bin21",0.0262140225063207,"OTU779",0.286248333101844,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Dinophyceae","Peridiniales","norank_o__Peridiniales","Peridiniopsis","Unruhdinium_jiulongense","Eukaryota",1,"norank_d__Eukaryota",0.99889039385116,"SAR_d__Eukaryota",0.998737969600785,"Dinophyceae",0.967479654979603,"Peridiniales",0.287202786842547,"norank_o__Peridiniales",0.287202786842547,"Peridiniopsis",0.287202786842547,"Unruhdinium_jiulongense",0.286248333101844
"Bin22",0.000450856893216051,"OTU1915",0.325232935984438,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","Eukaryota",1,"norank_d__Eukaryota",0.978602531446825,"SAR_d__Eukaryota",0.978602531446825,"Conoidasida",0.0654239754908162,"Cryptosporida",0.0491056973706728,"norank_o__Cryptosporida",0.0491056973706728,"Cryptosporidium",0.0491056973706728,"Colpodella_angusta",0.0356167538640307
"Bin23",0.000751841400933132,"OTU1147",0.195699689342704,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","Eukaryota",1,"norank_d__Eukaryota",0.998965885483995,"SAR_d__Eukaryota",0.998965885483995,"Intramacronucleata",0.00132087971007702,"Litostomatea",0.00132087971007702,"Haptoria",0.00132087971007702,"unclassified_p__SAR_d__Eukaryota",0.997645005773918,"unclassified_p__SAR_d__Eukaryota",0.997645005773918
"Bin24",0.0131318401137726,"OTU936",0.393084692076863,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","Eukaryota",1,"norank_d__Eukaryota",0.976811668473041,"SAR_d__Eukaryota",0.976648876299853,"Colpodellida",0.386593190254197,"norank_c__Colpodellida",0.386593190254197,"norank_c__Colpodellida",0.386593190254197,"Colpodella",0.386593190254197,"Colpodella_edax",0.386172827411799
"Bin25",0.00226667641620724,"OTU4043",0.652003801925844,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","Eukaryota",1,"norank_d__Eukaryota",0.233748089995742,"SAR_d__Eukaryota",0.233458705626955,"Intramacronucleata",0.0149534989646116,"Conthreep",0.0149534989646116,"Oligohymenophorea",0.0149534989646116,"Paramecium",0.0149534989646116,"Paramecium_tetraurelia",0.00749261392174417
"Bin26",0.00702215653825953,"OTU3927",0.531574064477049,"Eukaryota","norank_d__Eukaryota","norank_d__Eukaryota","norank_d__Eukaryota","norank_d__Eukaryota","norank_d__Eukaryota","norank_d__Eukaryota","uncultured_Telonema","Eukaryota",1,"norank_d__Eukaryota",0.697320378916699,"norank_d__Eukaryota",0.532304712418721,"norank_d__Eukaryota",0.532304712418721,"norank_d__Eukaryota",0.532304712418721,"norank_d__Eukaryota",0.532304712418721,"norank_d__Eukaryota",0.532304712418721,"uncultured_Telonema",0.532304712418721
"Bin27",0.00308922874912819,"OTU3597",0.621559871219741,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Bacillariophyceae","norank_c__Bacillariophyceae","norank_c__Bacillariophyceae","Sellaphora","Eolimna_minima","Eukaryota",1,"norank_d__Eukaryota",1,"SAR_d__Eukaryota",1,"Bacillariophyceae",0.938108555373575,"norank_c__Bacillariophyceae",0.938108555373575,"norank_c__Bacillariophyceae",0.938108555373575,"Sellaphora",0.632391838958317,"Eolimna_minima",0.622916804667523
"Bin28",0.14250149316125,"OTU767",0.84754774542245,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","norank_p__SAR_d__Eukaryota","norank_p__SAR_d__Eukaryota","Melosirids","Aulacoseira","unclassified_g__Aulacoseira","Eukaryota",1,"norank_d__Eukaryota",0.992634102793808,"SAR_d__Eukaryota",0.990752647149683,"norank_p__SAR_d__Eukaryota",0.853218789932023,"norank_p__SAR_d__Eukaryota",0.851447613747018,"Melosirids",0.851447613747018,"Aulacoseira",0.849030821424369,"Discostella_sp._HYK0210-A2",0.0555265692376259
"Bin29",0.00116770710988985,"OTU2256",0.400018841883885,"Eukaryota","Amoebozoa","Centrohelida","norank_p__Centrohelida","norank_p__Centrohelida","unclassified_o__norank_p__Centrohelida","unclassified_o__norank_p__Centrohelida","unclassified_o__norank_p__Centrohelida","Eukaryota",1,"Amoebozoa",0.528853962083949,"Centrohelida",0.488982047219815,"norank_p__Centrohelida",0.488982047219815,"norank_p__Centrohelida",0.488982047219815,"Heterophryidae",0.0562146329983291,"norank_f__Heterophryidae",0.0562146329983291,"metagenome_f__Heterophryidae",0.0562146329983291
"Bin30",0.0022582497307374,"OTU2420",0.318239254017635,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","MAST-12C","norank_c__MAST-12C","norank_c__MAST-12C","norank_c__MAST-12C","unclassified_g__norank_c__MAST-12C","Eukaryota",1,"norank_d__Eukaryota",0.694856360741473,"SAR_d__Eukaryota",0.621058154712306,"MAST-12C",0.592021399404754,"norank_c__MAST-12C",0.592021399404754,"norank_c__MAST-12C",0.592021399404754,"norank_c__MAST-12C",0.592021399404754,"Stramenopile_sp._MAST-12_KKTS_E5",0.0121982193922945
