"Method","GroupBasedOn","Group","Process","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","bin24","bin25","bin26","bin27","bin28","bin29","bin30","bin31","bin32","bin33","bin34","bin35","bin36","bin37","bin38","bin39","bin40","bin41","bin42","bin43","bin44","bin45","bin46","bin47","bin48","bin49","bin50","bin51","bin52","bin53","bin54","bin55","bin56","bin57","bin58","bin59","bin60","bin61","bin62","bin63","bin64","bin65","bin66","bin67","bin68","bin69","bin70","bin71","bin72","bin73","bin74","bin75","bin76","bin77","bin78"
"CbMPDiCbraya","Management","Post","HeS",0,3.8399220416814e-05,9.72934376033302e-05,4.9704811912378e-05,4.29343019311849e-06,0,0,0,0,0,3.35635086174913e-05,0,0.000803868312790878,1.97584119845604e-05,0,7.405777134037e-05,9.71531133065712e-05,0,0,7.53018882206361e-06,0,0,9.52823955482495e-05,0,2.00953626892605e-05,0,0,0,1.3468868634276e-06,0,0,0,0,0,2.79078682051174e-05,7.20057541414278e-05,0,0.0025127226043392,0,0.000781226100037339,0,1.11384001484071e-05,4.0773199659369e-06,0,0,0,0,0.000123740305610028,0,0,0,0,1.82466574669566e-05,0,1.43560944954048e-05,0,0.000142996785323354,6.5385969570202e-06,0.000164233418420152,0.000676702847323746,2.30894890873302e-06,0,1.48859313738526e-06,5.43642662124921e-06,0,0,0,0,4.05575828086212e-05,0.00151104398882783,0,4.37052430994884e-06,1.55326474892834e-06,0,0,0,6.47056743618253e-05,0
"CbMPDiCbraya","Management","Post","HoS",8.62405227903405e-05,0.0231185353455814,0,6.66104653078159e-06,5.62718785042396e-05,0,1.36048100218552e-06,0.000508746575209982,0,0.000999783982532271,0.00245710576613606,0,0.000823435087027825,0.00019512220149395,0,0.00010092430574986,0.00310245968735262,6.84665404391892e-05,0,2.01486942267748e-05,0,9.62657156706779e-06,0.000252023636163203,0.00544674838495497,4.25552578566798e-05,0,3.17494513433952e-05,0.0027849041038164,0.000219950945258369,0.00080507489123781,0.00477680784679192,0.0285459272467414,0,8.61690266201565e-05,0.000140252058032594,7.05442445738346e-06,0.0267259487636087,8.48171025205522e-07,0.000106108353761711,0.0040539061037136,2.97146570718173e-06,0,0.00010989935654406,0.00201288060034864,0.000623410709804979,0.0436014898642017,0.0119677329414473,0.000419969428642847,0.000132776648491577,0,0,0.00366176910157311,3.171884737752e-05,0.000145321566882314,3.42679823493363e-05,0.0012907626293091,0.00241633471210288,7.74545643380242e-05,0.00037421521697028,0.00409710587640137,6.64021404351082e-06,0.0362142370771434,8.60528033492986e-06,8.66208570121925e-05,0.0110930580297926,0.00128505189426361,0.0213937207675369,0.00757844983064151,5.95777720032948e-05,0,0.000177554403220798,0.000130612775852332,0.000321197491491617,0.0116404140462611,3.92023841652079e-06,0.000226539843750809,3.18255653493429e-06,0
"CbMPDiCbraya","Management","Post","DL",0,0.0277843313567026,0.000973648173709911,0.0010777760449975,0,0.000153678787338771,0,0.0261373265952407,0.0108832857159964,0.00376056871217611,0.00297401601086091,0.00770604627623474,0.00380540261046371,0.00285437683488181,0,0,0.000291541481650372,0,0.00210746468919635,0,0.0443460586170741,0.00110135813570723,0.00151980251148401,0.0263635871299142,0.00112769916240502,0.000579741354880219,0,0,0.00193245497918276,0.000216745902892106,0.0319332528626104,0.00680718212077432,0.0116662992004688,0,0,0.00150693873827382,0.00792597225778329,0.00788018951925063,0,0.0034204654168731,0,2.47973167316289e-05,0.000131102978987381,0.000482682416472502,0.000843931917006064,0.0463564992927572,0,0.0144131266355707,0.00184189276087064,0,0.00040420558522092,0.006124609841885,0.000520439329346551,0.0135043166753224,0.000278859148744927,0.00271418105375275,0.0025650853674237,7.88102667175825e-05,0.000785888081801458,0.00841626516267386,0.000509701983403573,0.13221962036334,4.86558605593853e-05,0.000239537042081845,0.00111942199334244,0.00190443893199714,0.037416803864343,0.0036133625534305,0.000120699057336376,0.00306382206612299,0.00160151444125283,0.000101727312664776,0,0.00243768859869799,0.00036714296891554,0.000113833493659663,0,8.34680936255426e-05
"CbMPDiCbraya","Management","Post","HD",8.89402512604858e-06,7.38379582629509e-05,2.50208432979013e-05,1.16111006298268e-05,0.000214151806253576,4.47232311783176e-07,0.000189598335439552,0.00244889611853946,0,1.68972702877843e-05,0,0,0,0,0.0010026439972288,0.000319272673709214,4.02075609694212e-05,7.44931360383327e-05,5.50165908511038e-05,2.48356092730995e-05,0.000347562344515243,0,0,0,6.2222016257034e-07,3.92087196982086e-05,3.63776953907411e-05,0.0026467473185649,1.75356539610116e-05,4.1630212164789e-05,0,0,0,4.88326558964587e-05,0.000288338210921079,4.46184968367406e-07,0.000387222193204147,0.000183811581525268,5.18046555401218e-06,0.000113218591444909,1.68446196853293e-06,0,4.88274644984363e-06,0.000191694384397772,0,0,0.000193348530957382,5.00134987431841e-05,0,2.14596795908048e-05,1.61812106023777e-05,0.000113200706626311,1.00157848769661e-06,0,0,0,2.58188019058014e-05,1.96846904962082e-06,0,1.14892505409633e-06,0,0.00012444615334159,5.36678774139811e-07,1.17326025709512e-06,0.000203599414763066,0,0.000271517950506043,0,1.38708676867995e-05,0.00215323819877276,0,2.59921744204695e-06,0.0010815908531843,1.93245694103885e-05,9.84708656219302e-08,8.4610085721027e-06,2.66971393469386e-05,1.19579524634302e-06
"CbMPDiCbraya","Management","Post","DR",0.00045705713781541,0,0.000250152806699371,0.000311823843987281,9.25620777933341e-06,0.00021064455851219,7.8324377500226e-07,0.00772595658919366,0.00274687611239305,0.00164021275624985,0.000106099633861829,0.00057833124974701,7.63105379331022e-05,8.03372875069075e-05,0.00411614475043291,0,0.000884588457918697,0.0002753610516458,0.000725874705569437,4.77669211584242e-05,0.00877277959685691,0.000110859460581669,4.74100208836748e-05,0.00425666497857661,0.000569956583167189,0.00212383252112082,5.79245726244583e-05,0.0301804878785176,5.2586185520744e-05,0.000496029076695693,0.013604873847248,0.000782092940995268,0.0069370740396367,0.000442882825726196,0.000284208889044169,0.000703625295244964,0.00399181916567361,0.00487298244987594,0.000855078225696218,0.00493788093805041,0.000131079813650348,0.000936645543129533,0.00032926083194995,0.000433807470092393,0.000200889864830669,0.0170986274408916,0.00179529843659486,0.0135744720236613,0.000307194850088031,0.00542295433074546,0.00230907804753127,0.0038095553329137,9.74564828231523e-05,0.00516422122801843,2.75838400098508e-05,0.00057139847833494,0.00380867715795928,0.000100249606224192,0.000122413171024688,0.000164450798025662,5.28274256643947e-05,0.00793205026696147,9.20728685649786e-05,4.2283517792888e-05,0.00234007784342091,0.00130327746186848,0.00550811820188932,0.00216969895613759,0.00022951254491491,0.00542918214718666,0.000550651749506,0.000141862907718792,0.000839597467115934,0.000430978268861044,6.35822866983595e-05,0.000483036679962575,0.000715435156147592,0.0001270710733293
"CbMPDiCbraya","Management","Pre_vs_In","HeS",0,0.000417359456947788,3.79076413885516e-05,0,0,4.53064499215155e-05,0.000173684410610058,0,0,0.00031922156778772,1.44274692841466e-05,2.37614916513999e-06,3.44587219112604e-05,1.11248423450913e-06,0,0,0.000127491627622735,0,0,2.36538653772831e-05,0,0,0,0,0.000273359848925765,0.000100192398351251,0,0,0,0,0,0.00226495302462282,0,0,0,0.000196596431626514,0,0,0,0,0,6.33377562482089e-05,0,0.00100173066229958,0,0,0,0,0,0.003421601493394,0.00101936387353034,0,5.37675315950494e-07,0,0,1.23247403491563e-05,0,9.53594318009652e-06,1.17589236344765e-06,0,3.10085593779632e-07,2.53641524282571e-05,1.55796922294929e-06,2.58823523527927e-05,5.87260058782692e-05,0,0,0,0,0,5.71553736374415e-05,5.05526606160081e-06,0,0,6.74348529234875e-07,0,0,3.24891356330443e-06
"CbMPDiCbraya","Management","Pre_vs_In","HoS",0.000102920023571343,0,0.000251214320466079,0.000128750893706297,0.000257424457595562,0,0,0,2.2116562259663e-06,0,4.03037761555263e-06,2.45798408574591e-05,3.21845186179369e-05,6.02734331352712e-05,0,0,0.00554023133864784,0.000327308295984356,1.1742665195814e-06,3.25629861188642e-06,0.0019045871857718,1.21496444902515e-06,1.74777717061865e-05,0,5.74259804877636e-06,0.000406902277068762,0.000163034105117924,0.00737052890852012,0.000224425452104478,0.000982244966068207,0.00628617777275357,3.27203641214479e-05,0.000720936090560347,0.000139791727115996,0.00345803466267497,0.000438937513747707,0.042182097346567,0,0.00170108167806832,0.0400546893482542,1.0276270779682e-06,6.73374107609263e-05,0.000215239157338014,0,3.86506256852056e-05,0.0193064803501286,0.00178789318485654,0,1.42314355179385e-05,0.0110191997706807,4.349500167729e-05,0.00118943931084275,4.45629837411099e-06,0.000152391098140443,6.34775452976167e-07,9.52197539007738e-05,0.00518698482910282,3.99068292089379e-05,8.29037711355779e-06,2.85530036405227e-06,3.69134252152057e-07,0,0.000104415624946798,6.6940043070706e-05,0,3.26707474399744e-05,0.000624147238536605,0.00363470529027519,8.99774757821035e-05,0.000341109191577829,0.000132475933059504,9.06901155029311e-07,0.00273567602314855,0.000129855225657437,1.51219934233919e-07,2.5809917421728e-05,0.00551948017818283,3.83304634148831e-05
"CbMPDiCbraya","Management","Pre_vs_In","DL",0.00352617475422543,0.00275599438083806,0.000461585460752686,0.000241794268416236,0.00330761062064705,0.000754109724694385,0.00463364009517998,0.0758724520940613,0,0.00249482708860733,0,0,0,1.09781989789041e-05,0.034098811520067,0.0228697185672497,0.00181081569865073,0.00448918502338413,0.0034901386648634,0.000634885666872041,0,0,8.29569164814567e-05,0,0.00211396695792665,0.00586152040158451,0.00342818636505631,0.0325072178401912,8.58130703540403e-06,0.000710775366296034,0,0.00326959916739747,0,0.0021901133929113,0.00100722732341436,0.00209598704348767,0.0241174074656379,0.00205954864107104,0.001193419619749,0.0123511314729085,0.00179219672561717,0.00148510926529242,0.000751641885561081,0.00191982664579598,0.000105503703701715,0.00630513360378152,0.0750222387737092,0.0285440866340793,0,0.00523145910620387,0.0050104798727472,0.0076897240515011,4.65370565812287e-05,0,4.50124737224178e-06,0,0.00341027956310546,8.99180122594466e-05,8.94156135827926e-05,0,0,0,0.00048314887799563,0.00018513609034245,0.0134156493427534,0.0018262574022085,0.00414664044701872,0.00243880347811021,0.000272090149091415,0.0293898405443149,0.000184592277975532,0.000471179248415408,0.0180666785064271,0.000721951797537191,9.02863074439036e-05,0.00109772339618331,0.00986790616536111,0.00017755828108091
"CbMPDiCbraya","Management","Pre_vs_In","HD",0,0.00019315697591304,1.36065299248265e-06,0,0,1.55061838661258e-07,0,0.000499375516969084,0.000117113207703189,2.22148827957804e-05,2.22665501532354e-05,0.000158679002884165,5.95906870009129e-07,5.28707767318049e-06,0.000249378368510134,8.61789228311183e-06,0,0,5.9140598304133e-05,0,0.00158695526204992,7.56691955502484e-07,2.52494686588337e-06,0.000306530730755985,1.61705540678646e-07,1.28245930549262e-06,2.00312559545863e-05,0,3.48211407337986e-06,1.40774770564075e-05,1.74600316823966e-05,0.000535548446983414,0.0001478996153557,0,0,2.13096163690088e-06,3.83273236682374e-05,0.000150037124197897,1.33426259439679e-05,3.2482337817988e-06,2.24264971278077e-07,2.96702641110481e-05,6.27047629118124e-06,2.55784109620258e-05,5.01826268185007e-05,0.000440260509935843,0.00048482898191642,0.000501665552621744,6.0794780608359e-06,0,3.03274027616577e-05,0.00012362602242611,2.3830702363349e-06,2.11697797092394e-05,2.14456571477421e-07,6.38893086168186e-05,5.08729906444487e-06,0,7.03077464071742e-06,3.73198358464735e-07,1.44231213019117e-07,0.000262417940476314,2.20120467364119e-07,4.67190398318586e-07,0.000519383856583629,0.000196891515684942,0.000712426424103492,7.99697647844732e-05,4.56198360592803e-06,3.40528357089569e-05,3.87805078262536e-06,1.81196972198826e-06,0,2.44510337673519e-05,5.47746490700587e-06,1.77849048208788e-05,0,2.94798137822135e-07
"CbMPDiCbraya","Management","Pre_vs_In","DR",0.000763646242614906,0.0142559605612955,0.000480819122261102,0.000815864594870714,0.00113517712481299,0.000141420070389865,0.000931362286876174,0.0115874002306575,0.00081077861638835,0.00268542791579812,5.37754675967675e-05,0.000211438676850696,0.000181372143462869,0.000101489240417109,0.00297329989725279,0.0112212164810987,0.00247605302696571,0.000959207571787927,0.00134707595490371,0.000252649257677174,0.00909629103243625,6.33915994915641e-05,6.75431843066037e-05,0.00135772919318007,0.00012631922072863,0.00279194597322965,0.000959565537884165,0.156068423342714,0.000403134466228358,0.000900536745190248,0.00294618740189089,0.00525293434508782,0.00295607862154046,0.00137236763892437,0.00271734226478431,0.000276057108011814,0.00288575206554379,0.0269520848033423,0.000109977942226178,0.00763721380492995,0.000190643768687847,0.000785092311951168,0.000397304099948049,0.000581429956175852,0.000171363418961006,0.00332772704161422,0.00585977583964325,0.00299452407857059,0.000179540754099477,0.00436475258552472,0.000856870840057024,0.00582355710493068,0.000111333055782898,0.000345817440357207,3.56504383915323e-05,0.000254613078582526,0.00343203475774695,0.000225736605069177,0.000141428194688186,0.000316472766172419,2.51999418690812e-05,0.00141990159415455,9.84025753237842e-05,6.38399222528205e-05,0.0036720197965991,7.7768549229083e-05,0.0042412547633704,0.00183316608200289,8.3679658654388e-05,0.00966662509334675,0.000644365801548934,0.000124318874493635,0.00848606288313086,0.0012207931128856,0.000104342631160085,0.000439367889207558,0.00112726118324413,0.000104938638117521
"CbMPDiCbraya","Management","Pre_vs_Post","HeS",0,0.000234371254879576,6.51440655584953e-05,8.5503353316898e-05,0,0.000175401989865876,0,0,0,0.00106909801079938,0.000537206399624156,0,0.000478800434974292,9.05593882625685e-06,0,0,6.37458138113677e-05,0.00032099694733287,0,1.0850810099318e-05,0,0,1.16429478500887e-05,0,0.000136679924462882,0,0,0,1.62801785791436e-05,0,0,0,0,8.50728948258927e-05,0.000159501940366107,0.000280357915345328,0,0.000326082416003373,0,0.00103483836888213,0,7.29335872589107e-06,3.89226483493927e-06,0.00060480425396004,1.25919613630571e-05,0,0,0.00255718989854092,9.56275032274489e-06,0,6.5312479019636e-06,0,1.67261026780435e-05,3.02885547340146e-06,0,3.99589376461545e-05,0,1.86204759691585e-06,9.89544877306772e-05,0.000775639373892045,2.51550912025275e-05,0.00147093795876523,4.89052704966166e-06,3.49999593276421e-05,0.000211978780342439,0,0,0,4.56730092496087e-05,0.000219973549299178,0,9.67822491184567e-06,0.000616985707916859,0,0,0,0.00537401208180872,0
