SpeciesID	S1_10B	S2_10Z	S3_10D	S4_11B	S5_11Z	S6_11D	S7_12B	S8_12Z	S9_12D	S10_1B	S11_1Z	S12_1D	S13_2B	S14_2Z	S15_2D	S16_3B	S17_3Z	S18_3D	S19_4B	S20_4Z	S21_4D	S22_5B	S23_5Z	S24_5D	S25_6B	S26_6Z	S27_6D	S28_7B	S29_7Z	S30_7D	S31_8B	S32_8Z	S33_8D	S34_9B	S35_9Z	S36_9D
OTU801	7	1	6	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	38	59	0	4	0	0	0	0	0	0	0	0	0	0	28	9	16
OTU802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	9	4	0	19	0	0	9	0	0	11	0	2	0	0	0	0	8	1	3
OTU803	0	0	0	58	33	78	1	2	5	5	7	5	0	0	0	0	0	0	58	51	65	1	1	0	0	0	0	0	0	0	0	2	0	22	10	6
OTU804	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	19	165	58	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU805	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU807	410	193	195	0	0	0	0	0	0	6	5	0	39	19	13	4	825	554	1028	168	229	0	34	13	0	0	0	0	0	0	0	73	0	0	0	0
OTU808	414	140	162	9	24	5	67	33	20	74	51	45	19	24	18	0	15	22	334	68	96	22	747	11	0	2	1	6	3	0	2	51	42	128	99	64
OTU809	0	0	0	0	0	0	0	0	0	9	1	2	0	0	0	28	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU810	69	23	50	150	111	139	161	129	135	778	640	372	17	22	27	1	491	653	7	5	5	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0
OTU811	349	230	240	57	107	66	101	69	74	96	73	92	121	193	145	29	60	67	710	400	622	27	195	1	0	0	0	10	8	15	5	122	39	65	44	39
OTU812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU813	1	0	0	0	3	0	0	0	2	0	0	0	0	0	1	0	0	0	117	62	128	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU814	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	120	198	12	12	9	2	13	3	0	0	0	0	0	0	0	0	0	26	14	15
OTU815	0	1	0	0	9	0	8	0	0	0	0	13	2	0	0	3	0	0	14	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU816	688	837	797	1270	1817	1003	519	439	464	192	168	581	11	3	6	0	7	10	11	11	30	0	0	3	0	0	0	0	2	4	2	391	42	146	182	153
OTU817	0	0	0	0	2	2	0	0	0	1	1	0	0	0	0	0	0	1	535	663	827	0	16	0	0	0	4	1	2	0	0	0	0	1	4	7
OTU818	0	0	0	0	0	0	13	4	15	15	23	13	238	228	268	8	14	19	19	4	13	4	20	1	27	51	9	1	7	3	0	0	0	0	4	2
OTU819	13165	8648	8494	974	871	431	16	20	42	22	18	66	0	6	6	0	5	0	24	9	14	0	36	7	0	0	0	0	5	8	12	44	42	436	251	254
OTU820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU821	1486	732	805	128	161	105	370	476	250	530	485	418	659	589	478	0	923	747	1064	401	487	180	1916	51	0	0	0	24	45	20	26	729	225	1107	1038	1010
OTU822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU823	0	0	0	0	0	0	0	0	7	0	0	7	0	0	0	0	0	387	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU824	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU825	296	63	94	13	13	15	277	134	95	288	176	122	272	170	125	0	53	52	28	6	12	0	0	1	0	0	1	0	0	0	9	27	27	7	13	8
OTU826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU827	29	49	32	99	71	15	402	1249	685	554	550	170	748	791	847	0	183	599	103	29	59	0	175	80	0	0	0	3	0	0	1	56	1	0	0	0
OTU828	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU829	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU830	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU831	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU832	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU833	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU834	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU835	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU836	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU837	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU838	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU839	88	34	86	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	1	2	4
OTU840	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU841	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU842	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU843	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU844	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU845	4	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	6	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
OTU846	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0
OTU847	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU848	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU849	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU850	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU851	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU852	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU853	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU854	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU855	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU856	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU857	2	0	0	0	2	0	18	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU858	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU859	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU860	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU861	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU862	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU863	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU864	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU866	15	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	3	7	0	0	0	0	0	0	3	0	0	0	1	0	2	2	1
OTU867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
