OTU ID	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU3820	Eukaryota	Discoba	Euglenozoa	Kinetoplastea	unclassified_c__Kinetoplastea	unclassified_c__Kinetoplastea	unclassified_c__Kinetoplastea	unclassified_c__Kinetoplastea
OTU3821	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU3822	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU3823	Eukaryota	Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi
OTU3824	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Thecofilosea	norank_c__Thecofilosea	norank_c__Thecofilosea	norank_c__Thecofilosea	metagenome_c__Thecofilosea
OTU3825	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Intramacronucleata	Conthreep	Oligohymenophorea	unclassified_f__Oligohymenophorea	unclassified_f__Oligohymenophorea
OTU3826	Eukaryota	Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi
OTU3827	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU3828	Eukaryota	Fungi	Basidiomycota	unclassified_p__Basidiomycota	unclassified_p__Basidiomycota	unclassified_p__Basidiomycota	unclassified_p__Basidiomycota	unclassified_p__Basidiomycota
OTU3829	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU3830	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU3831	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU3832	Eukaryota	Fungi	LKM15	norank_p__LKM15	norank_p__LKM15	norank_p__LKM15	norank_p__LKM15	unclassified_g__norank_p__LKM15
OTU3833	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU3834	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU3835	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU3836	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota
OTU3837	Eukaryota	Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi
OTU3838	Eukaryota	Chloroplastida	norank_k__Chloroplastida	Trebouxiophyceae	norank_c__Trebouxiophyceae	norank_c__Trebouxiophyceae	norank_c__Trebouxiophyceae	Heterochlorella_luteoviridis
OTU3839	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU3840	Eukaryota	Discoba	Euglenozoa	Kinetoplastea	Neobodonida	norank_o__Neobodonida	unclassified_f__norank_o__Neobodonida	unclassified_f__norank_o__Neobodonida
OTU3841	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU3842	Eukaryota	Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi
OTU3843	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU3844	Eukaryota	Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi
OTU3845	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU3846	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Intramacronucleata	Spirotrichea	Euplotia	Aspidisca	unclassified_g__Aspidisca
OTU3847	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Thecofilosea	norank_c__Thecofilosea	norank_c__Thecofilosea	norank_c__Thecofilosea	metagenome_c__Thecofilosea
OTU3848	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	norank_p__SAR_d__Eukaryota	norank_p__SAR_d__Eukaryota	norank_p__SAR_d__Eukaryota	Bicosoeca	uncultured_stramenopile_g__Bicosoeca
OTU3849	Eukaryota	Fungi	Chytridiomycota	norank_p__Chytridiomycota	norank_p__Chytridiomycota	norank_p__Chytridiomycota	norank_p__Chytridiomycota	unclassified_g__norank_p__Chytridiomycota
OTU3850	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota
OTU3851	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU3852	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU3853	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Novel_Clade_2	norank_c__Novel_Clade_2	norank_c__Novel_Clade_2	norank_c__Novel_Clade_2	unclassified_g__norank_c__Novel_Clade_2
OTU3854	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	unclassified_g__Dioszegia
OTU3855	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU3856	Eukaryota	Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi
OTU3857	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Chrysophyceae	Chromulinales	norank_o__Chromulinales	Spumella	Ochromonadaceae_environmental_sample_g__Spumella
OTU3858	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota
OTU3859	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Intramacronucleata	Litostomatea	Mesodiniidae	norank_f__Mesodiniidae	unclassified_g__norank_f__Mesodiniidae
OTU3860	Eukaryota	Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi	unclassified_k__Fungi
OTU3861	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Imbricatea	norank_c__Imbricatea	Thaumatomonadida	unclassified_f__Thaumatomonadida	unclassified_f__Thaumatomonadida
OTU3862	Eukaryota	Amoebozoa	SAR_k__Amoebozoa	Labyrinthulomycetes_p__SAR	norank_c__Labyrinthulomycetes_p__SAR	norank_c__Labyrinthulomycetes_p__SAR	Sorodiplophrys	unclassified_g__Sorodiplophrys
OTU3863	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	CH1-2B-3	norank_c__CH1-2B-3	norank_c__CH1-2B-3	norank_c__CH1-2B-3	unclassified_g__norank_c__CH1-2B-3
OTU3864	Eukaryota	Fungi	Chytridiomycota	norank_p__Chytridiomycota	norank_p__Chytridiomycota	norank_p__Chytridiomycota	norank_p__Chytridiomycota	unclassified_g__norank_p__Chytridiomycota
OTU3865	Eukaryota	norank_d__Eukaryota	norank_d__Eukaryota	Choanoflagellida	norank_c__Choanoflagellida	norank_c__Choanoflagellida	norank_c__Choanoflagellida	unclassified_g__norank_c__Choanoflagellida
OTU3866	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota	unclassified_p__SAR_d__Eukaryota
OTU3867	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Intramacronucleata	Litostomatea	unclassified_o__Litostomatea	unclassified_o__Litostomatea	unclassified_o__Litostomatea
OTU3868	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU3869	Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota	unclassified_d__Eukaryota
OTU3870	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Phytomyxea	norank_c__Phytomyxea	norank_c__Phytomyxea	Woronina	uncultured_Plasmodiophoridae_g__Woronina
OTU3871	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	unclassified_f__Aureobasidiaceae	unclassified_f__Aureobasidiaceae
OTU3872	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Chrysophyceae	Ochromonadales	norank_o__Ochromonadales	Ochromonas	Spumella-like_flagellate_JBC27
OTU3873	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Intramacronucleata	Spirotrichea	Hypotrichia	unclassified_f__Hypotrichia	unclassified_f__Hypotrichia
OTU3874	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces	Saccharomyces_eubayanus
OTU3875	Eukaryota	Chloroplastida	norank_k__Chloroplastida	Trebouxiophyceae	norank_c__Trebouxiophyceae	norank_c__Trebouxiophyceae	norank_c__Trebouxiophyceae	Muriella_terrestris
OTU3876	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Dinophyceae	unclassified_c__Dinophyceae	unclassified_c__Dinophyceae	unclassified_c__Dinophyceae	unclassified_c__Dinophyceae
OTU3877	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Chrysophyceae	Chromulinales	norank_o__Chromulinales	Oikomonas	Spumella-like_flagellate_JBAF35
OTU3878	Eukaryota	norank_d__Eukaryota	SAR_d__Eukaryota	Intramacronucleata	Conthreep	Oligohymenophorea	Vorticella	unclassified_g__Vorticella
OTU3879	Eukaryota	Fungi	Cryptomycota	norank_p__Cryptomycota	norank_p__Cryptomycota	norank_p__Cryptomycota	norank_p__Cryptomycota	uncultured_rhizosphere_zygomycete
