OTU ID	Domain	Phylum	Class	Order	Family	Genus
OTU8009	Bacteria	Bacillota	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium
OTU8010	Bacteria	Bacillota	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae_R-7_group
OTU8011	Bacteria	Actinomycetota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Nonomuraea
OTU8012	Bacteria	Bacillota	Bacilli	Bacillales	unclassified_o__Bacillales	unclassified_o__Bacillales
OTU8013	Bacteria	Chloroflexota	SHA-26	norank_c__SHA-26	norank_c__SHA-26	norank_c__SHA-26
OTU8014	Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria
OTU8015	Bacteria	Bacillota	Bacilli	Thermoactinomycetales	Thermoactinomycetaceae	Geothermomicrobium
OTU8016	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	norank_f__Hyphomicrobiaceae
OTU8017	Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria
OTU8018	Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria
OTU8019	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylocystis
OTU8020	Bacteria	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter
OTU8021	Bacteria	Myxococcota	Polyangiia	Polyangiales	Sandaracinaceae	norank_f__Sandaracinaceae
OTU8022	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	unclassified_f__Peptostreptococcaceae
OTU8023	Bacteria	Pseudomonadota	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella
OTU8024	Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria
OTU8025	Bacteria	Actinomycetota	Coriobacteriia	OPB41	norank_o__OPB41	norank_o__OPB41
OTU8026	Bacteria	Bacillota	Negativicutes	Veillonellales-Selenomonadales	Sporomusaceae	norank_f__Sporomusaceae
OTU8027	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	unclassified_f__Oscillospiraceae
OTU8028	Bacteria	Thermodesulfobacteriota	Syntrophorhabdia	Syntrophorhabdales	Syntrophorhabdaceae	Syntrophorhabdus
OTU8029	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Defluviimonas
OTU8030	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	norank_o__0319-6G20	norank_o__0319-6G20
OTU8031	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	unclassified_f__Parachlamydiaceae
OTU8032	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	unclassified_o__Chlamydiales	unclassified_o__Chlamydiales
OTU8033	Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria
OTU8034	Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria
OTU8035	Bacteria	Actinomycetota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura
OTU8036	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	unclassified_f__Oscillospiraceae
OTU8037	Bacteria	Actinomycetota	Actinobacteria	Kitasatosporales	Streptomycetaceae	Streptomyces
OTU8038	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales	Cyanobiaceae	Cyanobium_PCC-6307
OTU8039	Bacteria	Patescibacteria	Gracilibacteria	Candidatus_Peregrinibacteria	norank_o__Candidatus_Peregrinibacteria	norank_o__Candidatus_Peregrinibacteria
OTU8040	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Youngiibacter
OTU8041	Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria
OTU8042	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	Candidatus_Protochlamydia
OTU8043	Bacteria	Actinomycetota	Actinobacteria	unclassified_c__Actinobacteria	unclassified_c__Actinobacteria	unclassified_c__Actinobacteria
OTU8044	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Sporobacter
OTU8045	Bacteria	Pseudomonadota	Alphaproteobacteria	unclassified_c__Alphaproteobacteria	unclassified_c__Alphaproteobacteria	unclassified_c__Alphaproteobacteria
OTU8046	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	AB1	norank_f__AB1
OTU8047	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	A0839	norank_f__A0839
OTU8048	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	norank_f__JG30-KF-CM45
OTU8049	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter
OTU8050	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	norank_f__Anaerolineaceae
OTU8051	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	OM27_clade
OTU8052	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	unclassified_o__Microtrichales	unclassified_o__Microtrichales
OTU8053	Bacteria	Myxococcota	Polyangiia	unclassified_c__Polyangiia	unclassified_c__Polyangiia	unclassified_c__Polyangiia
OTU8054	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Rubellimicrobium
OTU8055	Bacteria	Bacillota	Clostridia	Clostridiales	Oxobacteraceae	Oxobacter
OTU8056	Bacteria	Pseudomonadota	Gammaproteobacteria	unclassified_c__Gammaproteobacteria	unclassified_c__Gammaproteobacteria	unclassified_c__Gammaproteobacteria
OTU8057	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
OTU8058	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	unclassified_o__Chlamydiales	unclassified_o__Chlamydiales
OTU8059	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	norank_f__Gemmataceae
OTU8060	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	norank_f__Pirellulaceae
OTU8061	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	unclassified_f__Oscillospiraceae
OTU8062	Bacteria	Entotheonellaeota	Entotheonellia	Entotheonellales	Entotheonellaceae	Candidatus_Entotheonella
OTU8063	Bacteria	Chloroflexota	Ktedonobacteria	C0119	norank_o__C0119	norank_o__C0119
OTU8064	Bacteria	Actinomycetota	Actinobacteria	Micromonosporales	Micromonosporaceae	Allorhizocola
OTU8065	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium
OTU8066	Bacteria	Chloroflexota	TK10	norank_c__TK10	norank_c__TK10	norank_c__TK10
OTU8067	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29_marine_group
OTU8068	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	norank_f__Pirellulaceae
OTU8069	Bacteria	Bacillota	Syntrophomonadia	Syntrophomonadales	Syntrophomonadaceae	Syntrophomonas
OTU8070	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	unclassified_f__Oscillospiraceae
OTU8071	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	unclassified_f__Lachnospiraceae
OTU8072	Bacteria	Bacillota	Clostridia	Oscillospirales	UCG-010	norank_f__UCG-010
OTU8073	Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria	unclassified_k__norank_d__Bacteria
OTU8074	Bacteria	Cyanobacteriota	Vampirivibrionia	Gastranaerophilales	Gastranaerophilaceae	norank_f__Gastranaerophilaceae
OTU8075	Bacteria	Patescibacteria	WWE3	norank_c__WWE3	norank_c__WWE3	norank_c__WWE3
OTU8076	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Acetivibrio
OTU8077	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	unclassified_f__Xanthobacteraceae
OTU8078	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium
OTU8079	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Psychroglaciecola
OTU8080	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidiferrimicrobium
OTU8081	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	unclassified_f__Micrococcaceae
OTU8082	Bacteria	Bacillota	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium
OTU8083	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
OTU8084	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
OTU8085	Bacteria	Chloroflexota	KD4-96	norank_c__KD4-96	norank_c__KD4-96	norank_c__KD4-96
OTU8086	Bacteria	Bacillota	Clostridia	Clostridiales	Oxobacteraceae	Oxobacter
OTU8087	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	unclassified_f__Beijerinckiaceae
OTU8088	Bacteria	Bacillota	Bacilli	Bacillales	Planococcaceae	unclassified_f__Planococcaceae
OTU8089	Bacteria	Bacillota	Clostridia	Clostridiales	Caloramatoraceae	Fonticella
OTU8090	Bacteria	Actinomycetota	MB-A2-108	norank_c__MB-A2-108	norank_c__MB-A2-108	norank_c__MB-A2-108
OTU8091	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	Neochlamydia
OTU8092	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Simkaniaceae	unclassified_f__Simkaniaceae
OTU8093	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10
OTU8094	Bacteria	Pseudomonadota	Gammaproteobacteria	Rickettsiellales	Rickettsiellaceae	Aquicella
OTU8095	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Schlesneriaceae	Schlesneria
OTU8096	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	norank_f__Pseudobdellovibrionaceae
OTU8097	Bacteria	Bacillota	Bacilli	Thermoactinomycetales	Thermoactinomycetaceae	Geothermomicrobium
OTU8098	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14	norank_f__67-14
OTU8099	Bacteria	Bacillota	Clostridia	unclassified_c__Clostridia	unclassified_c__Clostridia	unclassified_c__Clostridia
OTU8100	Bacteria	Pseudomonadota	Alphaproteobacteria	Holosporales	Holosporaceae	norank_f__Holosporaceae
OTU8101	Bacteria	Actinomycetota	Coriobacteriia	OPB41	norank_o__OPB41	norank_o__OPB41
OTU8102	Bacteria	Planctomycetota	Planctomycetes	norank_c__Planctomycetes	norank_c__Planctomycetes	norank_c__Planctomycetes
OTU8103	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter
OTU8104	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	SC-I-84	norank_f__SC-I-84
OTU8105	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium
OTU8106	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	norank_f__Lachnospiraceae
OTU8107	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Sedimentibacteraceae	Sedimentibacter
OTU8108	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomataceae	Spirosoma
OTU8109	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Caproiciproducens
OTU8110	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	unclassified_f__Microbacteriaceae
OTU8111	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium
