"Method","samp1","samp2","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","S1_10B","S30_7D",0.0642024463642677,0.564117207029784,0.248228253404001,0.00100345485311508,0.122448638348833
"CbMPDiCbraya","S1_10B","S31_8B",0.0656441002512226,0.484197627551959,0.196259959777131,0.00506133158461573,0.248836980835072
"CbMPDiCbraya","S1_10B","S32_8Z",0.0358324122074192,0.624107655376265,0.0731156758038253,0.00271884282034259,0.264225413792147
"CbMPDiCbraya","S1_10B","S33_8D",0.0177412406452661,0.492322813464163,0.306336902837919,0.00151019757560387,0.182088845477048
"CbMPDiCbraya","S1_10B","S34_9B",0,0.379159283686701,0.461924930626201,0.00442693210939277,0.154488853577704
"CbMPDiCbraya","S1_10B","S35_9Z",0,0.430744565811738,0.386260676123323,0.0104321250992711,0.172562632965668
"CbMPDiCbraya","S1_10B","S36_9D",0.0667727089708768,0.427823701612918,0.290505651531014,0.00589618966315641,0.209001748222035
"CbMPDiCbraya","S1_10B","S4_11B",0,0.499377837020919,0.262316284236183,0.0125609092472641,0.225744969495635
"CbMPDiCbraya","S1_10B","S5_11Z",0.000168071697369019,0.496229332465771,0.271764101765461,0.0173758381013236,0.214462655970075
"CbMPDiCbraya","S1_10B","S6_11D",0.000358951432345699,0.477773214040126,0.23723051182013,0.0129037006814692,0.271733622025929
"CbMPDiCbraya","S1_10B","S7_12B",0.000444211515523909,0.64622837590597,0.119951876655531,0.00819263795444805,0.225182897968527
"CbMPDiCbraya","S1_10B","S8_12Z",0.000258673549822024,0.53783852490845,0.217591542903552,0.00531363232169685,0.238997626316478
"CbMPDiCbraya","S1_10B","S9_12D",0.000794583209401574,0.584317228624524,0.205208334943715,0.00769223702286976,0.201987616199489
"CbMPDiCbraya","S10_1B","S11_1Z",0,0.75809429234393,0.00032608591608577,0.0668616099612946,0.174718011778689
"CbMPDiCbraya","S10_1B","S12_1D",0,0.802366280057595,0.0428284561797503,0.0179109007330779,0.136894363029577
"CbMPDiCbraya","S10_1B","S13_2B",0.0108897014884218,0.771775447265918,0.0458149680867468,0.0212826697935061,0.150237213365408
"CbMPDiCbraya","S10_1B","S14_2Z",0.00105431794915337,0.761754337886538,0.0661386597579677,0.0161788499128817,0.154873834493459
"CbMPDiCbraya","S10_1B","S15_2D",0.00953946548061526,0.786131040281884,0.0504298085063813,0.0359499637887558,0.117949721942363
"CbMPDiCbraya","S10_1B","S16_3B",0.0010131531485098,0.458920131480809,0.418162543716523,0.0274183772088403,0.0944857944453178
"CbMPDiCbraya","S10_1B","S17_3Z",0.000506865408935685,0.589434587295146,0.284490440933198,0.010138029756787,0.115430076605933
"CbMPDiCbraya","S10_1B","S18_3D",5.40191882251797e-05,0.618544622431558,0.242850732589365,0.012539781065876,0.126010844724976
"CbMPDiCbraya","S10_1B","S19_4B",0.0010131531485098,0.458920131480809,0.429671339694586,0.0339266577995791,0.0764687178765154
"CbMPDiCbraya","S10_1B","S2_10Z",0.000243037411545081,0.5835298668673,0.173256263508265,0.00744229538782555,0.235528536825065
"CbMPDiCbraya","S10_1B","S20_4Z",0.000506865408935685,0.589434587295146,0.284490440933198,0.0105215635681674,0.115046542794553
"CbMPDiCbraya","S10_1B","S21_4D",5.40191882251797e-05,0.618544622431558,0.243191134894194,0.00838939676761642,0.129820826718406
"CbMPDiCbraya","S10_1B","S22_5B",0.0162413885662703,0.522929913766707,0.155819153739906,0.00175683106567823,0.303252712861438
"CbMPDiCbraya","S10_1B","S23_5Z",0.00454597757818703,0.693232100314571,0.0368578144435521,0.00406672529723361,0.261297382366457
"CbMPDiCbraya","S10_1B","S24_5D",0.0142086412530423,0.449619706007915,0.358302831821343,0.00246034418263714,0.175408476735062
"CbMPDiCbraya","S10_1B","S25_6B",0.0430126650917923,0.402066283678445,0.263929874035002,0.00182397999210906,0.289167197202652
"CbMPDiCbraya","S10_1B","S26_6Z",0.0348650358823664,0.276050229361247,0.599051887647472,0.00243720893564764,0.0875956381732671
"CbMPDiCbraya","S10_1B","S27_6D",0.00943400184742703,0.343149696293047,0.545148208006476,0.000400640948927787,0.101867452904121
"CbMPDiCbraya","S10_1B","S28_7B",0.00856829588980941,0.486184718075438,0.37348949389079,0.00481174880396215,0.12694574334
"CbMPDiCbraya","S10_1B","S29_7Z",0.00708046873357423,0.463772237926957,0.352727863374989,0.0152919578219631,0.161127472142516
"CbMPDiCbraya","S10_1B","S3_10D",0.000412044899863738,0.605553232371785,0.153264376115524,0.0108677984353555,0.229902548177471
"CbMPDiCbraya","S10_1B","S30_7D",0.00830968812739308,0.497445516357303,0.296869056648719,0.000968868846331528,0.196406870020253
"CbMPDiCbraya","S10_1B","S31_8B",0.0359333041632328,0.344310324483182,0.211809924621255,0.0057117882297493,0.402234658502581
"CbMPDiCbraya","S10_1B","S32_8Z",0.0128682490270171,0.84604938581828,0.0195783720168144,0.00870456113037913,0.11279943200751
